timestamp,open,high,low,close,volume
2025-04-09,1.7911,2.0889,1.7221,2.0512,8354019.127894
2025-04-10,2.0525,2.0565,1.9227,1.965,3582675.314863
2025-04-11,1.966,2.065,1.9479,2.0187,2250465.052067
2025-04-12,2.0175,2.1855,2.004,2.1553,1580076.367763
2025-04-13,2.1551,2.2465,2.0811,2.1203,2605880.658606
2025-04-14,2.1174,2.1798,2.1042,2.1279,2135145.153623
2025-04-15,2.1266,2.1852,2.0836,2.0841,1581730.237166
2025-04-16,2.0838,2.1271,2.0365,2.0828,1964000.376556
2025-04-17,2.0853,2.1148,2.0521,2.0672,1392242.37797
2025-04-18,2.0679,2.0894,2.0437,2.0619,1324341.970552
2025-04-19,2.0608,2.0975,2.0599,2.0861,483805.179972
2025-04-20,2.0856,2.094,2.0396,2.0778,533826.168222
2025-04-21,2.0775,2.1407,2.0597,2.0847,875029.438406
2025-04-22,2.0841,2.25,2.064,2.215,1433810.325739
2025-04-23,2.215,2.3009,2.1905,2.2212,2206986.99965
2025-04-24,2.2224,2.2351,2.1179,2.204,2020100.486235
2025-04-25,2.2041,2.2188,2.1639,2.1812,1518866.764398
2025-04-26,2.1813,2.2479,2.18,2.1928,818980.877436
2025-04-27,2.1913,2.2945,2.1594,2.2522,1777366.533033
2025-04-28,2.2532,2.3609,2.2183,2.2948,2344500.448912
2025-04-29,2.2951,2.3142,2.222,2.2383,1200846.467705
2025-04-30,2.2378,2.2581,2.125,2.1899,1843941.326938
2025-05-01,2.188,2.2568,2.1868,2.2134,997138.613978
2025-05-02,2.2123,2.2411,2.192,2.2093,1375949.481251
2025-05-03,2.2094,2.2198,2.1763,2.186,537386.216747
2025-05-04,2.1925,2.2185,2.1511,2.155,661040.134721
2025-05-05,2.1555,2.1997,2.1071,2.1313,1492207.957849
2025-05-06,2.1305,2.1596,2.078,2.1544,1195883.052083
2025-05-07,2.1537,2.1716,2.1044,2.1273,645494.989147
2025-05-08,2.1235,2.331,2.1184,2.326,1745049.265429
2025-05-09,2.3252,2.4291,2.2871,2.3452,2037165.309441
2025-05-10,2.3467,2.4765,2.3359,2.4702,1290165.386937
2025-05-11,2.4701,2.4833,2.3291,2.367,1601632.448998
2025-05-12,2.3654,2.6546,2.3518,2.5351,3561455.458084
2025-05-13,2.5305,2.6056,2.4221,2.5823,2700722.32848
2025-05-14,2.5809,2.6508,2.5193,2.5506,2584094.496418
2025-05-15,2.551,2.5711,2.3537,2.3847,2376400.204519
2025-05-16,2.3848,2.4391,2.3476,2.3784,1670505.619568
2025-05-17,2.3784,2.3892,2.2989,2.3613,1236303.1827
2025-05-18,2.3594,2.4498,2.3323,2.4298,1308134.940627
